Poision Type: Label Flip,,,,,,,,,,,,,,
Aggergation Strategies,1 Compromized Client,,,,,,,2 Compromized Clients,,,,,,
,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD
FedAvg,0.7462,0.7331,0.7336,0.7372,0.7398,0.73798,0.005,0.6807,0.6596,0.6765,0.6479,0.6771,0.66836,0.014
FedAvgM,0.7682,0.7599,0.7708,0.7503,0.7428,0.7584,0.012,0.6704,0.671,0.6786,0.6715,0.6807,0.67444,0.005
FedProx,0.7982,0.7963,0.7905,0.7922,0.7887,0.79318,0.004,0.7445,0.7565,0.7515,0.7508,0.7494,0.75054,0.004
FedNova,0.748,0.7327,0.7456,0.7392,0.7338,0.73986,0.007,0.667,0.682,0.6604,0.6759,0.6691,0.67088,0.008
FedCurv,0.6476,0.6439,0.6172,0.6311,0.6104,0.63004,0.016,0.6137,0.5967,0.5893,0.6192,0.6269,0.60916,0.016
Federated Clustered,0.6971,0.7116,0.6376,0.7201,0.7107,0.69542,0.033,0.5978,0.6041,0.6331,0.6125,0.6306,0.61562,0.016
Attention Based Aggregation,0.7482,0.7372,0.7359,0.7299,0.7387,0.73798,0.007,0.6633,0.6793,0.6807,0.6707,0.684,0.6756,0.008
,,,,,,,,,,,,,,
Poision Type: Random Labelling,,,,,,,,,,,,,,
Aggergation Strategies,1 Compromized Client,,,,,,,2 Compromized Clients,,,,,,
,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD
FedAvg,0.7438,0.7495,0.7412,0.7414,0.7394,0.74306,0.004,0.6752,0.6651,0.6844,0.6635,0.68,0.67364,0.009
FedAvgM,0.7499,0.7663,0.7498,0.7618,0.7605,0.75766,0.007,0.702,0.708,0.7045,0.7108,0.7002,0.7051,0.004
FedProx,0.7973,0.7986,0.7807,0.8021,0.7958,0.7949,0.008,0.7578,0.7629,0.7682,0.7621,0.7581,0.76182,0.004
FedNova,0.7507,0.7446,0.7288,0.7431,0.7412,0.74168,0.008,0.6745,0.6824,0.6835,0.6762,0.6944,0.6822,0.008
FedCurv,0.6312,0.6462,0.574,0.6859,0.6456,0.63658,0.04,0.6034,0.569,0.631,0.5978,0.5988,0.6,0.022
Federated Clustered,0.6194,0.7228,0.7204,0.544,0.5725,0.63582,0.083,0.5889,0.6544,0.5789,0.6086,0.6064,0.60744,0.029
Attention Based Aggregation,0.739,0.7366,0.7327,0.7363,0.7473,0.73838,0.005,0.6753,0.6803,0.6777,0.6846,0.6742,0.67842,0.004
,,,,,,,,,,,,,,
Poision Type: Feature Vanish,,,,,,,,,,,,,,
Aggergation Strategies,1 Compromized Client,,,,,,,2 Compromized Clients,,,,,,
,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD
FedAvg,0.7715,0.7536,0.7742,0.7786,0.761,0.76778,0.01,0.7445,0.6371,0.7434,0.7901,0.7652,0.73606,0.058
FedAvgM,0.7716,0.7314,0.7726,0.7788,0.7631,0.7635,0.019,0.7283,0.6162,0.7334,0.7712,0.7789,0.7256,0.065
FedProx,0.8208,0.8207,0.8203,0.8201,0.8099,0.81836,0.005,0.8182,0.8194,0.8195,0.8287,0.818,0.82076,0.004
FedNova,0.7666,0.7278,0.7546,0.7664,0.7681,0.7567,0.017,0.706,0.6257,0.7476,0.7738,0.7742,0.72546,0.062
FedCurv,0.6868,0.6449,0.6992,0.6802,0.6801,0.67824,0.02,0.6593,0.6633,0.6635,0.6946,0.6425,0.66464,0.019
Federated Clustered,0.6664,0.6449,0.6521,0.6761,0.6445,0.6568,0.014,0.6413,0.6825,0.7085,0.6713,0.7035,0.68142,0.027
Attention Based Aggregation,0.789,0.7268,0.7596,0.7659,0.7735,0.76296,0.023,0.7452,0.6212,0.7282,0.7724,0.7712,0.72764,0.062